,current_soil_moisture,temperature,humidity,rain,salinity,ph,irrigation_amount,next_smoist_0
0,38.8,28.025999069213867,83.0,0.0,1.1,6.6,8.948375114096923,43.27418755704846
1,28.7,28.025999069213867,83.0,0.0,0.8,7.0,29.80025107437649,43.60012553718825
2,16.7,28.025999069213867,83.0,0.0,1.6,7.3,24.331166702868174,28.865583351434086
3,28.4,28.025999069213867,83.0,0.0,0.5,7.4,31.84577337034326,44.322886685171625
4,35.0,28.025999069213867,83.0,0.0,0.8,6.0,10.734029215533758,40.367014607766876
5,15.9,28.025999069213867,83.0,0.0,1.3,7.0,25.605017345766345,28.702508672883173
6,38.6,28.025999069213867,83.0,0.0,1.6,7.3,29.265023714589155,53.23251185729458
7,16.6,28.025999069213867,83.0,0.0,1.6,6.5,9.727714306261912,21.46385715313096
8,29.1,28.025999069213867,83.0,0.0,1.4,7.0,8.696527617929146,33.448263808964576
9,39.6,28.025999069213867,83.0,0.0,1.0,7.0,32.80835112791472,56.00417556395736
10,27.0,28.025999069213867,83.0,0.0,1.5,6.1,6.749543392610963,30.37477169630548
11,36.7,28.025999069213867,83.0,0.0,1.8,6.7,35.936925119949976,54.66846255997499
12,36.1,28.025999069213867,83.0,0.0,1.9,6.0,17.777621803542008,44.988810901771004
13,26.5,28.025999069213867,83.0,0.0,1.5,6.3,37.45838343266682,45.22919171633341
14,21.3,28.025999069213867,83.0,0.0,1.5,6.7,34.63534858956312,38.617674294781565
15,38.0,28.025999069213867,83.0,0.0,1.0,7.5,39.95079199610419,57.97539599805209
16,18.7,28.025999069213867,83.0,0.0,2.0,6.5,27.23945613956449,32.31972806978224
17,32.0,28.025999069213867,83.0,0.0,1.6,7.1,36.39262556690736,50.19631278345368
18,18.6,28.025999069213867,83.0,0.0,1.9,7.1,7.305934133308574,22.25296706665429
19,32.4,28.025999069213867,83.0,0.0,1.6,6.6,23.122941873178046,43.96147093658902
20,24.6,28.025999069213867,83.0,0.0,0.4,7.5,35.27223098238583,42.23611549119292
21,24.7,28.025999069213867,83.0,0.0,1.2,6.9,25.41424052037233,37.40712026018616
22,15.7,28.025999069213867,83.0,0.0,1.7,6.3,34.770135597186595,33.0850677985933
23,27.9,28.025999069213867,83.0,0.0,1.1,6.5,25.552301935103362,40.67615096755168
24,26.0,28.025999069213867,83.0,0.0,1.9,6.5,39.539725369099635,45.76986268454982
25,19.8,28.025999069213867,83.0,0.0,1.1,6.9,13.615957749754475,26.60797887487724
26,17.7,28.025999069213867,83.0,0.0,0.7,6.2,10.990305715402222,23.19515285770111
27,20.6,28.025999069213867,83.0,0.0,0.9,6.1,9.468348158476799,25.3341740792384
28,26.3,28.025999069213867,83.0,0.0,0.1,6.3,23.215007071915302,37.90750353595765
29,20.1,28.025999069213867,83.0,0.0,0.5,7.0,5.6563776994055495,22.928188849702778
30,37.6,28.025999069213867,83.0,0.0,0.5,7.1,9.805768240807467,42.502884120403735
31,22.5,28.025999069213867,83.0,0.0,1.9,7.4,26.71196482216927,35.85598241108464
32,23.4,28.025999069213867,83.0,0.0,1.4,6.5,35.23973662958677,41.019868314793385
33,28.7,28.025999069213867,83.0,0.0,0.1,6.9,14.634590633818757,36.017295316909376
34,27.1,28.025999069213867,83.0,0.0,1.8,6.2,34.64146435421968,44.42073217710984
35,29.7,28.025999069213867,83.0,0.0,0.1,7.3,26.76882079024827,43.08441039512414
36,20.6,28.025999069213867,83.0,0.0,1.8,7.3,26.483993105399737,33.84199655269987
37,26.4,28.025999069213867,83.0,0.0,1.9,6.4,35.51818815323397,44.15909407661698
38,16.4,28.025999069213867,83.0,0.0,1.4,7.3,36.01003287855398,34.40501643927699
