,current_soil_moisture,temperature,humidity,rain,salinity,ph,irrigation_amount,next_smoist_0
0,28.1,26.525999069213867,80.0,0.0,20.7,5.7,19.296609164333898,33.88898274930017
1,28.2,26.525999069213867,80.0,0.0,20.6,5.6,11.170525725703373,31.55115771771101
2,29.1,26.525999069213867,80.0,0.0,19.2,5.6,12.08250373688865,32.724751121066596
3,27.4,26.525999069213867,80.0,0.0,19.0,6.3,12.991516690193972,31.29745500705819
4,28.6,26.525999069213867,80.0,0.0,19.2,5.9,10.755535051462664,31.8266605154388
5,28.0,26.525999069213867,80.0,0.0,20.7,6.5,27.404041127279623,36.22121233818389
6,28.8,26.525999069213867,80.0,0.0,19.7,6.3,23.52617260213634,35.8578517806409
7,27.7,26.525999069213867,80.0,0.0,19.4,5.6,26.336828471893707,35.60104854156811
8,26.0,26.525999069213867,80.0,0.0,20.7,5.8,29.090684588573488,34.727205376572044
9,28.4,26.525999069213867,80.0,0.0,20.5,5.9,12.594307410955889,32.17829222328677
10,28.7,26.525999069213867,80.0,0.0,20.6,5.5,21.25369546812711,35.07610864043813
11,29.9,26.525999069213867,80.0,0.0,19.6,6.1,13.056525023852119,33.816957507155635
12,26.9,26.525999069213867,80.0,0.0,20.9,6.2,19.667212282850628,32.800163684855185
13,25.5,26.525999069213867,80.0,0.0,20.2,6.2,28.170726970329746,33.95121809109892
14,28.1,26.525999069213867,80.0,0.0,19.9,5.7,27.804180099150326,36.441254029745096
15,28.7,26.525999069213867,80.0,0.0,20.6,5.9,18.903593112101614,34.37107793363048
16,29.1,26.525999069213867,80.0,0.0,19.3,6.1,25.190306976841985,36.6570920930526
17,26.6,26.525999069213867,80.0,0.0,20.5,6.2,13.004354351249658,30.5013063053749
18,28.3,26.525999069213867,80.0,0.0,20.7,5.6,11.581683224169996,31.774504967250998
19,25.3,26.525999069213867,80.0,0.0,19.9,5.9,11.78527558846675,28.835582676540024
20,29.5,26.525999069213867,80.0,0.0,20.1,5.7,27.493933895634417,37.748180168690325
21,26.2,26.525999069213867,80.0,0.0,20.3,5.6,24.577624033738655,33.57328721012159
22,27.4,26.525999069213867,80.0,0.0,19.0,5.8,27.691187629055044,35.70735628871651
23,29.5,26.525999069213867,80.0,0.0,20.9,5.7,11.747633868890599,33.02429016066718
24,25.2,26.525999069213867,80.0,0.0,19.5,6.3,22.168895404861612,31.85066862145848
25,27.4,26.525999069213867,80.0,0.0,20.5,5.6,18.950013373931316,33.0850040121794
26,26.7,26.525999069213867,80.0,0.0,20.6,6.5,29.967176208369736,35.69015286251092
27,28.0,26.525999069213867,80.0,0.0,20.9,6.4,23.740031434287104,35.122009430286134
28,28.9,26.525999069213867,80.0,0.0,19.3,6.1,15.482620690053253,33.544786207015974
29,30.0,26.525999069213867,80.0,0.0,19.7,6.4,13.228624635040136,33.96858739051204
30,25.5,26.525999069213867,80.0,0.0,19.5,5.7,15.347548243053716,30.104264472916114
31,27.6,26.525999069213867,80.0,0.0,20.4,6.4,29.905688321009116,36.57170649630274
32,27.2,26.525999069213867,80.0,0.0,20.1,5.8,12.886910641175984,31.066073192352796
33,28.9,26.525999069213867,80.0,0.0,19.4,6.3,12.915032068237656,32.77450962047129
34,25.1,26.525999069213867,80.0,0.0,19.0,5.6,13.316934966568379,29.095080489970513
35,25.3,26.525999069213867,80.0,0.0,20.4,6.4,26.18585219347925,33.15575565804377
36,28.4,26.525999069213867,80.0,0.0,20.6,5.8,28.377241310365736,36.91317239310972
37,27.2,26.525999069213867,80.0,0.0,19.5,6.2,17.569842548722733,32.47095276461682
38,25.3,26.525999069213867,80.0,0.0,19.2,6.2,19.796493413647752,31.238948024094327
39,26.7,26.525999069213867,80.0,0.0,19.6,6.2,22.605118342921173,33.481535502876355
40,27.7,26.525999069213867,80.0,0.0,20.3,5.8,17.573092049892928,32.971927614967875
41,26.4,26.525999069213867,80.0,0.0,19.6,6.4,12.281539299068307,30.08446178972049
42,29.9,26.525999069213867,80.0,0.0,20.3,6.4,19.361961791932302,35.708588537579686
43,27.4,26.525999069213867,80.0,0.0,20.9,5.9,26.753900477514204,35.42617014325426
44,26.5,26.525999069213867,80.0,0.0,20.7,6.4,13.083254346444717,30.424976303933416
45,27.1,26.525999069213867,80.0,0.0,20.6,6.3,27.05778138274162,35.21733441482249
46,27.3,26.525999069213867,80.0,0.0,20.6,5.9,12.298953454010777,30.989686036203235
47,29.6,26.525999069213867,80.0,0.0,19.6,6.1,22.93026736776258,36.479080210328775
48,28.9,26.525999069213867,80.0,0.0,19.0,6.4,14.491289781218189,33.24738693436545
49,27.5,26.525999069213867,80.0,0.0,20.4,6.2,10.515436638649959,30.65463099159499
50,28.9,26.525999069213867,80.0,0.0,20.3,6.5,10.188973325893754,31.956691997768125
51,26.3,26.525999069213867,80.0,0.0,20.6,6.0,29.311395403515274,35.09341862105458
52,29.1,26.525999069213867,80.0,0.0,20.2,6.3,25.85697262816038,36.857091788448116
53,26.6,26.525999069213867,80.0,0.0,19.1,6.0,20.309965363949697,32.69298960918491
54,28.4,26.525999069213867,80.0,0.0,20.6,5.6,26.217771822100335,36.2653315466301
55,28.2,26.525999069213867,80.0,0.0,20.1,5.7,11.866880221964273,31.76006406658928
56,25.2,26.525999069213867,80.0,0.0,19.7,5.8,13.285780843802952,29.185734253140886
57,26.6,26.525999069213867,80.0,0.0,19.7,6.0,27.698975835017762,34.90969275050533
58,28.1,26.525999069213867,80.0,0.0,20.2,6.2,11.692410504543837,31.607723151363153
59,28.0,26.525999069213867,80.0,0.0,20.2,5.7,26.66617662327353,35.999852986982056
60,26.5,26.72599983215332,80.0,0.0,19.0,6.1,12.76170845660117,30.32851253698035
61,28.3,26.72599983215332,80.0,0.0,19.1,6.0,17.583096205680064,33.574928861704024
62,25.4,26.72599983215332,80.0,0.0,19.3,6.1,27.892171968485208,33.76765159054556
63,27.7,26.72599983215332,80.0,0.0,20.5,6.3,12.110954670546983,31.333286401164095
64,28.6,26.72599983215332,80.0,0.0,20.6,5.6,13.107738100686145,32.53232143020585
65,25.6,26.72599983215332,80.0,0.0,19.6,6.4,27.57038328045801,33.87111498413741
66,28.6,26.72599983215332,80.0,0.0,19.5,5.8,16.358591826513624,33.507577547954085
67,25.8,26.72599983215332,80.0,0.0,19.4,6.0,12.187209745341184,29.456162923602356
68,30.0,26.72599983215332,80.0,0.0,20.1,5.8,17.283258168003037,35.18497745040091
69,29.4,26.72599983215332,80.0,0.0,20.4,5.6,14.732714849968755,33.81981445499063
70,27.3,26.72599983215332,80.0,0.0,20.2,6.0,29.602156308353024,36.180646892505905
71,26.7,26.72599983215332,80.0,0.0,20.4,5.9,23.156751626085047,33.647025487825516
72,28.9,26.72599983215332,80.0,0.0,19.9,5.9,24.240439697661806,36.17213190929854
73,27.3,26.72599983215332,80.0,0.0,19.1,5.8,13.314593319131289,31.29437799573939
74,25.2,26.72599983215332,80.0,0.0,19.9,6.5,13.860274073343612,29.358082222003084
75,25.3,26.72599983215332,80.0,0.0,19.7,6.2,17.92463666513223,30.677390999539668
76,29.7,26.72599983215332,80.0,0.0,20.1,5.9,12.615957178227523,33.484787153468254
77,25.1,26.72599983215332,80.0,0.0,19.4,5.7,18.937940128798843,30.781382038639656
78,29.2,26.72599983215332,80.0,0.0,20.8,6.0,28.31080941002998,37.693242823008994
79,28.9,26.72599983215332,80.0,0.0,19.7,5.7,25.278704695055705,36.48361140851671
80,27.6,26.72599983215332,80.0,0.0,19.8,5.9,28.491200916498208,36.14736027494946
81,28.6,26.72599983215332,80.0,0.0,20.8,5.7,12.067498564041898,32.22024956921257
82,27.1,26.72599983215332,80.0,0.0,19.1,5.9,23.5650165015863,34.16950495047589
83,27.3,26.72599983215332,80.0,0.0,20.1,5.7,21.941948926384995,33.8825846779155
84,25.6,26.72599983215332,80.0,0.0,20.9,5.6,15.637424886573593,30.291227465972078
85,27.6,26.72599983215332,80.0,0.0,20.9,6.3,26.810037478721572,35.64301124361647
86,28.4,26.72599983215332,80.0,0.0,20.2,6.1,14.746397200509165,32.82391916015275
87,28.9,26.72599983215332,80.0,0.0,19.5,6.0,23.551643381888027,35.965493014566405
88,26.3,26.72599983215332,80.0,0.0,20.3,6.2,20.707102229506326,32.512130668851896
89,26.7,26.72599983215332,80.0,0.0,20.6,6.3,21.00514931577512,33.00154479473254
90,29.6,26.72599983215332,80.0,0.0,19.8,6.4,14.04828913426372,33.814486740279115
91,26.1,26.72599983215332,80.0,0.0,20.6,6.2,20.632340938973353,32.28970228169201
92,27.5,26.72599983215332,80.0,0.0,19.2,6.4,10.213507376309996,30.564052212893
93,28.6,26.72599983215332,80.0,0.0,20.5,6.0,10.17649833660775,31.652949500982327
94,28.6,26.72599983215332,80.0,0.0,20.9,6.2,10.477040734674512,31.743112220402356
95,25.7,26.72599983215332,80.0,0.0,19.7,6.0,25.46121885594286,33.338365656782855
96,29.3,26.72599983215332,80.0,0.0,19.8,6.3,25.38648963763969,36.91594689129191
97,25.6,26.72599983215332,80.0,0.0,20.6,5.7,29.032308015113685,34.309692404534104
98,29.5,26.72599983215332,80.0,0.0,19.4,5.7,16.803862879207568,34.54115886376227
99,29.7,26.72599983215332,80.0,0.0,20.0,6.2,10.694282298226804,32.90828468946804
100,28.6,26.72599983215332,80.0,0.0,19.1,6.3,21.305433147641942,34.99162994429258
101,27.5,26.72599983215332,80.0,0.0,21.0,6.4,12.027904147874755,31.108371244362427
102,27.3,26.72599983215332,80.0,0.0,19.9,5.9,13.486539128046708,31.34596173841401
103,28.1,26.72599983215332,80.0,0.0,20.7,5.9,15.051333596149155,32.61540007884475
104,29.2,26.72599983215332,80.0,0.0,20.3,5.8,14.706194238165985,33.6118582714498
105,29.6,26.72599983215332,80.0,0.0,19.3,5.5,10.724713328224615,32.81741399846739
106,29.4,26.72599983215332,80.0,0.0,20.6,6.3,16.01700162671687,34.20510048801506
107,25.1,26.72599983215332,80.0,0.0,19.9,6.2,26.53454364471969,33.06036309341591
108,27.4,26.72599983215332,80.0,0.0,19.4,6.0,17.889539708986604,32.76686191269598
109,27.5,26.72599983215332,80.0,0.0,19.5,6.1,29.547085860472645,36.364125758141796
110,25.3,26.72599983215332,80.0,0.0,20.0,5.9,29.090631622203222,34.027189486660966
111,27.8,26.72599983215332,80.0,0.0,20.5,6.5,22.841316187761798,34.65239485632854
112,26.9,26.72599983215332,80.0,0.0,19.8,5.9,12.960909666430299,30.788272899929087
113,28.8,26.72599983215332,80.0,0.0,20.5,5.9,13.699305860155757,32.90979175804673
114,27.0,26.72599983215332,80.0,0.0,19.1,6.3,16.82909086593746,32.04872725978124
115,25.6,26.72599983215332,80.0,0.0,19.5,6.4,21.684481749650793,32.10534452489524
116,25.8,26.72599983215332,80.0,0.0,19.2,5.7,13.127396353131857,29.738218905939558
117,26.9,26.72599983215332,80.0,0.0,21.0,6.5,29.74754802130456,35.824264406391364
118,28.4,26.72599983215332,80.0,0.0,19.9,6.4,27.161947885056914,36.54858436551707
119,26.7,26.72599983215332,80.0,0.0,20.8,5.7,14.478725185760021,31.043617555728005
120,28.8,26.575998306274418,82.0,0.0,20.3,5.6,23.12811142926039,35.738433428778116
121,25.8,26.575998306274418,82.0,0.0,19.1,5.9,19.43699126560124,31.631097379680373
122,29.4,26.575998306274418,82.0,0.0,19.8,5.6,21.75077415557633,35.9252322466729
123,28.3,26.575998306274418,82.0,0.0,20.5,5.7,12.982540729783283,32.19476221893498
124,28.9,26.575998306274418,82.0,0.0,20.7,6.2,19.31864105484697,34.69559231645409
125,28.1,26.575998306274418,82.0,0.0,21.0,5.8,19.814232440316125,34.04426973209484
126,29.4,26.575998306274418,82.0,0.0,19.8,6.2,16.530593625564272,34.35917808766928
