,current_soil_moisture,temperature,humidity,rain,salinity,ph,irrigation_amount,next_smoist_0
0,32.4,26.67599868774414,89.0,0.0,20.1,6.5,27.750393448368964,40.725118034510686
1,23.8,26.67599868774414,89.0,0.0,20.0,5.5,14.31625592477994,28.09487677743398
2,24.6,26.67599868774414,89.0,0.0,20.0,6.4,29.40929103745562,33.42278731123669
3,35.5,26.67599868774414,89.0,0.0,20.0,5.6,13.369750978221266,39.51092529346638
4,26.8,26.67599868774414,89.0,0.0,19.5,5.9,17.038455563978975,31.911536669193694
5,23.0,26.67599868774414,89.0,0.0,19.2,6.5,9.631675057617588,25.889502517285276
6,17.4,26.67599868774414,89.0,0.0,19.8,6.5,11.195122992611477,20.758536897783443
7,20.7,26.67599868774414,89.0,0.0,20.0,6.4,8.054769443673283,23.116430833101983
8,38.5,26.67599868774414,89.0,0.0,20.4,5.5,23.063549680755873,45.41906490422676
9,30.6,26.67599868774414,89.0,0.0,19.1,5.7,21.886856863759864,37.16605705912796
10,34.8,26.67599868774414,89.0,0.0,20.1,6.2,11.033480342784866,38.11004410283546
11,34.9,26.67599868774414,89.0,0.0,20.6,6.5,23.85451835153196,42.056355505459585
12,36.1,26.67599868774414,89.0,0.0,20.1,5.6,24.81648435258786,43.54494530577636
13,16.5,26.67599868774414,89.0,0.0,20.2,5.7,10.85747596679887,19.757242790039662
14,29.4,26.67599868774414,89.0,0.0,19.6,5.7,5.5107694151832405,31.05323082455497
15,28.4,26.67599868774414,89.0,0.0,20.9,6.1,7.226808859965798,30.56804265798974
16,16.9,26.67599868774414,89.0,0.0,19.5,5.6,14.136712326790835,21.14101369803725
17,21.6,26.67599868774414,89.0,0.0,19.7,5.7,22.528681816819503,28.358604545045853
18,29.2,26.67599868774414,89.0,0.0,19.6,6.0,8.55632904261855,31.766898712785565
19,35.0,26.67599868774414,89.0,0.0,20.6,5.9,16.82618115881896,40.04785434764569
20,27.5,26.67599868774414,89.0,0.0,19.1,5.9,5.836832459110681,29.251049737733204
21,17.9,26.67599868774414,89.0,0.0,20.7,6.5,29.401608262896765,26.72048247886903
22,37.4,26.67599868774414,89.0,0.0,19.6,6.0,7.438385328261999,39.6315155984786
23,35.3,26.67599868774414,89.0,0.0,20.9,5.7,12.178618554775598,38.95358556643268
24,23.2,26.67599868774414,89.0,0.0,20.8,5.6,12.892507238775229,27.067752171632566
25,31.9,26.67599868774414,89.0,0.0,20.5,5.8,24.594726989610475,39.278418096883144
26,33.7,26.67599868774414,89.0,0.0,19.0,5.9,28.16780442512318,42.15034132753696
27,38.7,26.67599868774414,89.0,0.0,20.4,5.9,29.304814080026265,47.49144422400788
28,33.9,26.67599868774414,89.0,0.0,20.8,5.9,19.26195456399376,39.67858636919813
29,27.0,26.67599868774414,89.0,0.0,21.0,5.6,24.380024941114108,34.31400748233423
30,34.9,26.67599868774414,89.0,0.0,20.1,5.7,29.318598228751124,43.69557946862534
31,18.0,26.67599868774414,89.0,0.0,20.8,6.1,25.03734707479984,25.511204122439953
32,32.1,26.67599868774414,89.0,0.0,20.9,6.0,7.982430322531007,34.4947290967593
33,18.4,26.67599868774414,89.0,0.0,21.0,5.8,23.52786608563275,25.458359825689822
34,26.9,26.67599868774414,89.0,0.0,19.1,6.3,25.027159863262007,34.4081479589786
35,19.5,26.67599868774414,89.0,0.0,19.4,5.6,25.877557534854464,27.263267260456338
36,30.2,26.67599868774414,89.0,0.0,20.2,5.9,17.87684860982634,35.5630545829479
37,18.9,26.67599868774414,89.0,0.0,20.5,5.9,7.399091062766906,21.11972731883007
38,15.4,26.67599868774414,89.0,0.0,20.5,5.8,29.931166059918162,24.37934981797545
39,26.3,26.67599868774414,89.0,0.0,19.3,5.8,7.646273307154259,28.59388199214628
40,35.3,26.67599868774414,89.0,0.0,20.6,5.8,29.077264342986652,44.02317930289599
41,28.9,26.67599868774414,89.0,0.0,20.7,5.8,23.10049677956868,35.830149033870605
42,19.2,26.67599868774414,89.0,0.0,20.6,5.6,18.337024937739045,24.701107481321714
43,21.1,26.67599868774414,89.0,0.0,19.7,6.4,18.15286288620176,26.54585886586053
44,26.9,26.67599868774414,89.0,0.0,20.7,6.2,8.99886885876421,29.59966065762926
45,25.8,26.67599868774414,89.0,0.0,20.8,6.4,19.146911543044588,31.544073462913378
46,29.5,26.67599868774414,89.0,0.0,20.7,6.2,12.537842961174801,33.26135288835244
47,22.3,26.67599868774414,89.0,0.0,21.0,5.7,25.16992371516335,29.850977114549003
48,32.4,26.67599868774414,89.0,0.0,20.1,6.1,9.214172887302365,35.16425186619071
49,25.3,26.67599868774414,89.0,0.0,20.0,5.6,6.389547013397127,27.216864104019137
50,21.2,26.67599868774414,89.0,0.0,20.1,5.9,29.379145948510313,30.013743784553093
51,28.9,26.67599868774414,89.0,0.0,20.1,6.1,24.344236537596377,36.20327096127891
52,26.2,26.67599868774414,89.0,0.0,19.6,5.8,22.98595416193637,33.09578624858091
53,27.5,26.67599868774414,89.0,0.0,19.9,6.1,15.323969790879014,32.097190937263704
54,17.8,26.67599868774414,89.0,0.0,20.4,6.3,24.10502472351291,25.031507417053874
55,38.2,26.67599868774414,89.0,0.0,21.0,5.6,23.727098989000357,45.31812969670011
56,32.4,26.67599868774414,89.0,0.0,19.6,5.9,25.78231275513214,40.13469382653964
