,current_soil_moisture,temperature,humidity,rain,salinity,ph,irrigation_amount,next_smoist_0
0,30.0,26.57599830627441,90.0,0.0,20.9,5.8,18.576028764524374,35.57280862935731
1,26.5,26.57599830627441,90.0,0.0,20.4,6.2,26.66372388730243,34.49911716619073
2,26.3,26.57599830627441,90.0,0.0,20.0,5.9,18.406997914829933,31.82209937444898
3,29.4,26.57599830627441,90.0,0.0,20.8,5.6,17.944611672030906,34.78338350160927
4,26.9,26.57599830627441,90.0,0.0,20.0,6.4,11.74244188301331,30.422732564903992
5,28.3,26.57599830627441,90.0,0.0,20.7,5.8,29.139904899445522,37.041971469833655
6,28.2,26.57599830627441,90.0,0.0,20.4,6.4,11.439861800831405,31.63195854024942
7,29.5,26.57599830627441,90.0,0.0,19.8,6.1,27.334151128164955,37.700245338449484
8,25.4,26.57599830627441,90.0,0.0,20.0,5.8,13.776702868629275,29.53301086058878
9,26.7,26.57599830627441,90.0,0.0,20.6,5.7,10.962679220807532,29.98880376624226
10,29.4,26.57599830627441,90.0,0.0,19.2,5.9,11.263511950578287,32.779053585173486
11,27.5,26.57599830627441,90.0,0.0,20.6,6.3,24.723268618289755,34.916980585486925
12,30.0,26.57599830627441,90.0,0.0,19.2,6.0,18.903332866071178,35.67099985982135
13,28.6,26.57599830627441,90.0,0.0,20.0,5.6,22.8832361973815,35.46497085921445
14,26.4,26.57599830627441,90.0,0.0,20.3,5.9,19.86741630709319,32.36022489212795
15,29.3,26.57599830627441,90.0,0.0,20.0,6.0,18.694265317696818,34.90827959530905
16,25.5,26.57599830627441,90.0,0.0,19.0,5.5,24.421176797748533,32.82635303932456
17,28.3,26.57599830627441,90.0,0.0,20.0,6.1,24.677009029835727,35.703102708950716
18,29.9,26.57599830627441,90.0,0.0,21.0,6.5,15.875704633364386,34.662711390009314
19,26.5,26.57599830627441,90.0,0.0,20.1,6.2,22.511124217848046,33.25333726535441
20,29.2,26.57599830627441,90.0,0.0,20.7,6.2,23.33534879644412,36.200604638933235
21,28.2,26.57599830627441,90.0,0.0,19.6,6.4,24.650550898607896,35.59516526958237
22,29.0,26.57599830627441,90.0,0.0,20.2,6.2,26.884753508667714,37.065426052600316
23,28.3,26.57599830627441,90.0,0.0,20.4,6.2,10.88831781754742,31.566495345264226
24,27.9,26.57599830627441,90.0,0.0,19.5,6.0,10.218244350790302,30.96547330523709
25,26.7,26.57599830627441,90.0,0.0,19.3,6.1,25.039367538371618,34.21181026151149
26,28.2,26.57599830627441,90.0,0.0,20.7,5.8,17.639407198769423,33.49182215963083
27,29.6,26.57599830627441,90.0,0.0,19.9,6.0,18.79938063378038,35.23981419013411
28,25.9,26.57599830627441,90.0,0.0,20.5,5.7,22.30098001021689,32.59029400306507
29,27.1,26.57599830627441,90.0,0.0,19.9,6.3,22.183660343885983,33.75509810316579
30,25.6,26.57599830627441,90.0,0.0,19.5,6.0,17.448144641522422,30.834443392456727
31,26.8,26.57599830627441,90.0,0.0,19.2,5.7,28.650444207569567,35.395133262270875
32,29.0,26.57599830627441,90.0,0.0,20.9,6.2,20.734653269714443,35.22039598091433
33,26.5,26.57599830627441,90.0,0.0,21.0,5.5,25.12290642709707,34.03687192812912
34,27.2,26.57599830627441,90.0,0.0,19.1,6.0,14.199009460406897,31.45970283812207
35,29.0,26.57599830627441,90.0,0.0,20.5,6.5,27.81700305510921,37.345100916532765
36,28.3,26.57599830627441,90.0,0.0,20.7,5.8,19.65470423012684,34.19641126903805
37,26.5,26.57599830627441,90.0,0.0,19.6,6.3,22.06311463120805,33.118934389362416
38,29.6,26.57599830627441,90.0,0.0,20.9,5.7,10.173339028131824,32.65200170843955
39,26.8,26.57599830627441,90.0,0.0,19.1,6.4,21.314758848085873,33.194427654425766
40,29.8,26.57599830627441,90.0,0.0,19.7,5.6,26.97606531293382,37.89281959388015
41,27.8,26.57599830627441,90.0,0.0,20.6,6.0,23.236074869683463,34.77082246090504
42,25.2,26.57599830627441,90.0,0.0,19.1,6.4,19.89750464412654,31.16925139323796
43,26.4,26.57599830627441,90.0,0.0,19.4,6.2,17.262133389857855,31.578640016957355
44,29.7,26.57599830627441,90.0,0.0,20.9,6.2,25.684713060100638,37.40541391803019
45,27.2,26.57599830627441,90.0,0.0,20.7,5.6,22.126303633109533,33.83789108993286
46,29.3,26.57599830627441,90.0,0.0,20.3,5.8,25.817205838542918,37.04516175156287
47,29.4,26.57599830627441,90.0,0.0,20.4,5.9,10.560183760284563,32.56805512808537
48,25.3,26.57599830627441,90.0,0.0,19.9,6.3,11.686709516942779,28.806012855082834
49,28.0,26.57599830627441,90.0,0.0,19.9,6.0,23.663331199839362,35.09899935995181
50,29.6,26.57599830627441,90.0,0.0,19.9,5.8,21.032614079507894,35.90978422385237
51,28.9,26.57599830627441,90.0,0.0,20.0,6.1,20.34398494036622,35.00319548210987
52,30.0,26.57599830627441,90.0,0.0,19.7,5.7,29.667821603552337,38.9003464810657
53,26.9,26.57599830627441,90.0,0.0,19.1,5.8,16.49706628175115,31.849119884525344
54,25.3,26.57599830627441,90.0,0.0,19.9,5.8,21.852831350167207,31.85584940505016
55,28.3,26.57599830627441,90.0,0.0,19.5,6.0,17.91472183762871,33.674416551288616
56,27.9,26.57599830627441,90.0,0.0,20.5,6.0,11.34001179143107,31.30200353742932
57,25.6,26.57599830627441,90.0,0.0,20.5,5.6,24.041645230460297,32.81249356913809
58,26.2,26.57599830627441,90.0,0.0,20.4,6.3,27.033285955960228,34.30998578678807
59,27.0,26.57599830627441,90.0,0.0,19.9,6.2,15.348950168820714,31.604685050646214
60,29.8,26.375999450683597,91.0,0.0,20.5,6.4,19.55292564899401,35.6658776946982
61,28.8,26.375999450683597,91.0,0.0,19.0,6.4,18.578350157888334,34.3735050473665
62,28.1,26.375999450683597,91.0,0.0,21.0,6.0,19.720541225111496,34.016162367533454
63,25.9,26.375999450683597,91.0,0.0,19.2,5.5,22.139160286505096,32.541748085951525
64,28.7,26.375999450683597,91.0,0.0,20.6,5.8,29.39447711165967,37.5183431334979
65,25.5,26.375999450683597,91.0,0.0,20.0,5.9,15.838504408452259,30.251551322535676
66,28.4,26.375999450683597,91.0,0.0,19.8,5.8,19.266774340826473,34.18003230224794
