id,temperature,humidity,rain,salinity,ph,soil_moisture
20250408000000,26.525999069213867,80.0,0.0,20.7,5.7,28.1
20250408000100,26.525999069213867,80.0,0.0,20.6,5.6,28.2
20250408000200,26.525999069213867,80.0,0.0,19.2,5.6,29.1
20250408000300,26.525999069213867,80.0,0.0,19.0,6.3,27.4
20250408000400,26.525999069213867,80.0,0.0,19.2,5.9,28.6
20250408000500,26.525999069213867,80.0,0.0,20.7,6.5,28.0
20250408000600,26.525999069213867,80.0,0.0,19.7,6.3,28.8
20250408000700,26.525999069213867,80.0,0.0,19.4,5.6,27.7
20250408000800,26.525999069213867,80.0,0.0,20.7,5.8,26.0
20250408000900,26.525999069213867,80.0,0.0,20.5,5.9,28.4
20250408001000,26.525999069213867,80.0,0.0,20.6,5.5,28.7
20250408001100,26.525999069213867,80.0,0.0,19.6,6.1,29.9
20250408001200,26.525999069213867,80.0,0.0,20.9,6.2,26.9
20250408001300,26.525999069213867,80.0,0.0,20.2,6.2,25.5
20250408001400,26.525999069213867,80.0,0.0,19.9,5.7,28.1
20250408001500,26.525999069213867,80.0,0.0,20.6,5.9,28.7
20250408001600,26.525999069213867,80.0,0.0,19.3,6.1,29.1
20250408001700,26.525999069213867,80.0,0.0,20.5,6.2,26.6
20250408001800,26.525999069213867,80.0,0.0,20.7,5.6,28.3
20250408001900,26.525999069213867,80.0,0.0,19.9,5.9,25.3
20250408002000,26.525999069213867,80.0,0.0,20.1,5.7,29.5
20250408002100,26.525999069213867,80.0,0.0,20.3,5.6,26.2
20250408002200,26.525999069213867,80.0,0.0,19.0,5.8,27.4
20250408002300,26.525999069213867,80.0,0.0,20.9,5.7,29.5
20250408002400,26.525999069213867,80.0,0.0,19.5,6.3,25.2
20250408002500,26.525999069213867,80.0,0.0,20.5,5.6,27.4
20250408002600,26.525999069213867,80.0,0.0,20.6,6.5,26.7
20250408002700,26.525999069213867,80.0,0.0,20.9,6.4,28.0
20250408002800,26.525999069213867,80.0,0.0,19.3,6.1,28.9
20250408002900,26.525999069213867,80.0,0.0,19.7,6.4,30.0
20250408003000,26.525999069213867,80.0,0.0,19.5,5.7,25.5
20250408003100,26.525999069213867,80.0,0.0,20.4,6.4,27.6
20250408003200,26.525999069213867,80.0,0.0,20.1,5.8,27.2
20250408003300,26.525999069213867,80.0,0.0,19.4,6.3,28.9
20250408003400,26.525999069213867,80.0,0.0,19.0,5.6,25.1
20250408003500,26.525999069213867,80.0,0.0,20.4,6.4,25.3
20250408003600,26.525999069213867,80.0,0.0,20.6,5.8,28.4
20250408003700,26.525999069213867,80.0,0.0,19.5,6.2,27.2
20250408003800,26.525999069213867,80.0,0.0,19.2,6.2,25.3
20250408003900,26.525999069213867,80.0,0.0,19.6,6.2,26.7
20250408004000,26.525999069213867,80.0,0.0,20.3,5.8,27.7
20250408004100,26.525999069213867,80.0,0.0,19.6,6.4,26.4
20250408004200,26.525999069213867,80.0,0.0,20.3,6.4,29.9
20250408004300,26.525999069213867,80.0,0.0,20.9,5.9,27.4
20250408004400,26.525999069213867,80.0,0.0,20.7,6.4,26.5
20250408004500,26.525999069213867,80.0,0.0,20.6,6.3,27.1
20250408004600,26.525999069213867,80.0,0.0,20.6,5.9,27.3
20250408004700,26.525999069213867,80.0,0.0,19.6,6.1,29.6
20250408004800,26.525999069213867,80.0,0.0,19.0,6.4,28.9
20250408004900,26.525999069213867,80.0,0.0,20.4,6.2,27.5
20250408005000,26.525999069213867,80.0,0.0,20.3,6.5,28.9
20250408005100,26.525999069213867,80.0,0.0,20.6,6.0,26.3
20250408005200,26.525999069213867,80.0,0.0,20.2,6.3,29.1
20250408005300,26.525999069213867,80.0,0.0,19.1,6.0,26.6
20250408005400,26.525999069213867,80.0,0.0,20.6,5.6,28.4
20250408005500,26.525999069213867,80.0,0.0,20.1,5.7,28.2
